Experiment,subj,ICU_medSplit,ICU,phase_1,phase_2,phase_3
Exp3,P102_Exp3,Low,18,239.75,422,321.5
Exp3,P103_Exp3,High,26,267.25,283.7,296.7
Exp3,P105_Exp3,Low,15,192.71428571428572,142.5,245.83333333333334
Exp3,P106_Exp3,Low,14,275.3,306.8666666666667,309.93333333333334
Exp3,P107_Exp3,Low,21,278.35714285714283,224.76923076923077,279.5
Exp3,P108_Exp3,Low,6,274.0625,286.88235294117646,246.6875
Exp3,P109_Exp3,High,23,292.35714285714283,320.75,283.75
Exp3,P110_Exp3,Low,20,211.52941176470588,228.23076923076923,183.41176470588235
Exp3,P111_Exp3,High,24,190,210.625,215.23529411764707
Exp3,P112_Exp3,Low,17,229.55555555555554,211.5,171.45833333333334
Exp3,P113_Exp3,Low,11,245.26666666666668,268.5833333333333,141.95833333333334
Exp3,P114_Exp3,High,23,196.0909090909091,222.6875,166.26666666666668
Exp3,P115_Exp3,High,31,316.5,NaN,NaN
Exp3,P116_Exp3,Low,21,209.28571428571428,226.71428571428572,217.42857142857142
Exp3,P117_Exp3,High,29,230,410.6666666666667,676
Exp3,P118_Exp3,High,24,280.8,447,565.5
Exp3,P119_Exp3,Low,12,250.42857142857142,337.07142857142856,290.27272727272725
Exp3,P120_Exp3,Low,19,249.11764705882354,253.21052631578948,155.65217391304347
Exp3,P121_Exp3,High,29,280.55555555555554,228.14285714285714,245.16666666666666
Exp3,P122_Exp3,Low,13,218.04166666666666,228.1304347826087,318
Exp3,P123_Exp3,High,23,195.55555555555554,137.75,142.8095238095238
Exp3,P124_Exp3,Low,16,233.52380952380952,226.26666666666668,237.33333333333334
Exp3,P125_Exp3,Low,13,293.3333333333333,270.5,397
Exp3,P126_Exp3,Low,18,153.33333333333334,59.869565217391305,90.1304347826087
Exp3,P127_Exp3,Low,20,219.8181818181818,227.5,222.9
Exp3,P128_Exp3,High,27,193,223.94444444444446,246.625
Exp3,P129_Exp3,High,29,258.2,297.375,481.5
Exp3,P130_Exp3,Low,22,201.9,192.6,212.0625
Exp3,P131_Exp3,High,36,243,299.8333333333333,361.2
Exp3,P132_Exp3,Low,20,253.77272727272728,234.13636363636363,242.4
Exp3,P133_Exp3,High,30,334.2,176.72727272727272,162.66666666666666
Exp3,P134_Exp3,Low,20,236.8095238095238,152.83333333333334,135.15
Exp3,P135_Exp3,Low,22,256.73333333333335,259.1666666666667,135.70833333333334
Exp3,P136_Exp3,High,25,239.53333333333333,291,323.3333333333333
Exp3,P137_Exp3,High,29,309.7142857142857,540.25,289.10526315789474
Exp3,P138_Exp3,High,25,220.94736842105263,263.8,233.83333333333334
Exp3,P139_Exp3,Low,16,202.14285714285714,32.708333333333336,71.76923076923077
Exp3,P140_Exp3,High,26,211.64285714285714,276,270.4
Exp3,P141_Exp3,High,23,258,248,326.6666666666667
Exp3,P142_Exp3,High,34,220,260,350
Exp3,P143_Exp3,Low,17,234.58333333333334,201.9375,206.8
Exp3,P144_Exp3,Low,18,226.2,245.875,245.9090909090909
Exp3,P146_Exp3,High,25,204.95,224.88888888888889,188.375
Exp3,P148_Exp3,Low,16,223,610,294.5
Exp6,P101_Exp6,Low,21,254.44444444444446,NA,NA
Exp6,P101_Exp6,Low,21,NA,184.35,NA
Exp6,P101_Exp6,Low,21,NA,NA,199.9047619047619
Exp6,P102_Exp6,Low,21,209.66666666666666,NA,NA
Exp6,P102_Exp6,Low,21,NA,274.5217391304348,NA
Exp6,P102_Exp6,Low,21,NA,NA,285.89473684210526
Exp6,P103_Exp6,High,35,265.9166666666667,NA,NA
Exp6,P103_Exp6,High,35,NA,331.90909090909093,NA
Exp6,P103_Exp6,High,35,NA,NA,413.25
Exp6,P104_Exp6,Low,20,287.4,NA,NA
Exp6,P104_Exp6,Low,20,NA,297.3809523809524,NA
Exp6,P104_Exp6,Low,20,NA,NA,193.1578947368421
Exp6,P105_Exp6,Low,18,331.75,NA,NA
Exp6,P105_Exp6,Low,18,NA,332.64285714285717,NA
Exp6,P105_Exp6,Low,18,NA,NA,281.06666666666666
Exp6,P106_Exp6,High,31,348.7647058823529,NA,NA
Exp6,P106_Exp6,High,31,NA,389.7692307692308,NA
Exp6,P106_Exp6,High,31,NA,NA,358.1666666666667
Exp6,P108_Exp6,Low,19,324.2,NA,NA
Exp6,P108_Exp6,Low,19,NA,308.8,NA
Exp6,P108_Exp6,Low,19,NA,NA,410.8888888888889
Exp6,P109_Exp6,Low,18,358.0769230769231,NA,NA
Exp6,P109_Exp6,Low,18,NA,268.6666666666667,NA
Exp6,P109_Exp6,Low,18,NA,NA,313.22222222222223
Exp6,P110_Exp6,High,23,315.1666666666667,NA,NA
Exp6,P110_Exp6,High,23,NA,392.8,NA
Exp6,P110_Exp6,High,23,NA,NA,508.57142857142856
Exp6,P111_Exp6,Low,22,244.64285714285714,NA,NA
Exp6,P111_Exp6,Low,22,NA,295.4,NA
Exp6,P111_Exp6,Low,22,NA,NA,429.5
Exp6,P112_Exp6,Low,11,255.5,NA,NA
Exp6,P112_Exp6,Low,11,NA,223.86666666666667,NA
Exp6,P112_Exp6,Low,11,NA,NA,193.6315789473684
Exp6,P113_Exp6,High,26,298.1666666666667,NA,NA
Exp6,P113_Exp6,High,26,NA,282,NA
Exp6,P113_Exp6,High,26,NA,NA,251.83333333333334
Exp6,P114_Exp6,High,28,312.94444444444446,NA,NA
Exp6,P114_Exp6,High,28,NA,199.75,NA
Exp6,P114_Exp6,High,28,NA,NA,237.95454545454547
Exp6,P115_Exp6,High,27,280.93333333333334,NA,NA
Exp6,P115_Exp6,High,27,NA,296.0769230769231,NA
Exp6,P115_Exp6,High,27,NA,NA,273.25
Exp6,P117_Exp6,High,25,369.9,NA,NA
Exp6,P117_Exp6,High,25,NA,329,NA
Exp6,P117_Exp6,High,25,NA,NA,482.45454545454544
Exp6,P118_Exp6,Low,17,205.35,NA,NA
Exp6,P118_Exp6,Low,17,NA,156.5,NA
Exp6,P118_Exp6,Low,17,NA,NA,173.65217391304347
Exp6,P119_Exp6,Low,17,263.7647058823529,NA,NA
Exp6,P119_Exp6,Low,17,NA,330.7142857142857,NA
Exp6,P119_Exp6,Low,17,NA,NA,254.42857142857142
Exp6,P120_Exp6,High,23,212.88235294117646,NA,NA
Exp6,P120_Exp6,High,23,NA,237.25,NA
Exp6,P120_Exp6,High,23,NA,NA,402.1818181818182
Exp6,P121_Exp6,High,24,287.6842105263158,NA,NA
Exp6,P121_Exp6,High,24,NA,271.46153846153845,NA
Exp6,P121_Exp6,High,24,NA,NA,237.5
Exp6,P122_Exp6,High,25,291.63157894736844,NA,NA
Exp6,P122_Exp6,High,25,NA,165.11111111111111,NA
Exp6,P122_Exp6,High,25,NA,NA,110.85714285714286
Exp6,P123_Exp6,Low,10,344.64285714285717,NA,NA
Exp6,P123_Exp6,Low,10,NA,401.25,NA
Exp6,P123_Exp6,Low,10,NA,NA,476.90909090909093
Exp6,P124_Exp6,High,30,279.64285714285717,NA,NA
Exp6,P124_Exp6,High,30,NA,350.2352941176471,NA
Exp6,P124_Exp6,High,30,NA,NA,395.6666666666667
Exp6,P125_Exp6,Low,8,264.85714285714283,NA,NA
Exp6,P125_Exp6,Low,8,NA,350.3157894736842,NA
Exp6,P125_Exp6,Low,8,NA,NA,269.8095238095238
Exp6,P126_Exp6,High,40,270.125,NA,NA
Exp6,P126_Exp6,High,40,NA,258.77272727272725,NA
Exp6,P126_Exp6,High,40,NA,NA,288.14285714285717
Exp6,P127_Exp6,High,23,376.2142857142857,NA,NA
Exp6,P127_Exp6,High,23,NA,311.5,NA
Exp6,P127_Exp6,High,23,NA,NA,402.2
Exp6,P128_Exp6,Low,18,219.2,NA,NA
Exp6,P128_Exp6,Low,18,NA,73.16666666666667,NA
Exp6,P128_Exp6,Low,18,NA,NA,85.08333333333333
Exp6,P129_Exp6,High,32,299.53333333333336,NA,NA
Exp6,P129_Exp6,High,32,NA,344,NA
Exp6,P129_Exp6,High,32,NA,NA,541
Exp6,P130_Exp6,High,32,300.11764705882354,NA,NA
Exp6,P130_Exp6,High,32,NA,232.77272727272728,NA
Exp6,P130_Exp6,High,32,NA,NA,212.3913043478261
Exp6,P131_Exp6,High,26,253.0952380952381,NA,NA
Exp6,P131_Exp6,High,26,NA,266.5238095238095,NA
Exp6,P131_Exp6,High,26,NA,NA,228.2173913043478
Exp6,P132_Exp6,Low,17,362,NA,NA
Exp6,P132_Exp6,Low,17,NA,300.47058823529414,NA
Exp6,P132_Exp6,Low,17,NA,NA,247.21052631578948
Exp6,P133_Exp6,High,24,263.3157894736842,NA,NA
Exp6,P133_Exp6,High,24,NA,127.47058823529412,NA
Exp6,P133_Exp6,High,24,NA,NA,116.28571428571429
Exp6,P134_Exp6,High,30,302.3181818181818,NA,NA
Exp6,P134_Exp6,High,30,NA,214.04545454545453,NA
Exp6,P134_Exp6,High,30,NA,NA,353
Exp6,P135_Exp6,Low,14,312.88235294117646,NA,NA
Exp6,P135_Exp6,Low,14,NA,308.6666666666667,NA
Exp6,P135_Exp6,Low,14,NA,NA,344.0625
Exp6,P136_Exp6,High,30,290.53846153846155,NA,NA
Exp6,P136_Exp6,High,30,NA,347.8666666666667,NA
Exp6,P136_Exp6,High,30,NA,NA,306.5625
Exp6,P137_Exp6,High,29,252,NA,NA
Exp6,P137_Exp6,High,29,NA,234.86666666666667,NA
Exp6,P137_Exp6,High,29,NA,NA,269.95238095238096
Exp6,P138_Exp6,High,30,457.375,NA,NA
Exp6,P138_Exp6,High,30,NA,501.75,NA
Exp6,P138_Exp6,High,30,NA,NA,348.6666666666667
Exp6,P139_Exp6,High,28,249.9090909090909,NA,NA
Exp6,P139_Exp6,High,28,NA,235.9375,NA
Exp6,P139_Exp6,High,28,NA,NA,226.5625
Exp6,P140_Exp6,Low,18,381.4117647058824,NA,NA
Exp6,P140_Exp6,Low,18,NA,299.26666666666665,NA
Exp6,P140_Exp6,Low,18,NA,NA,301.4375
Exp6,P141_Exp6,High,24,235.8125,NA,NA
Exp6,P141_Exp6,High,24,NA,251.23529411764707,NA
Exp6,P141_Exp6,High,24,NA,NA,268.3076923076923
Exp6,P142_Exp6,Low,14,256.36842105263156,NA,NA
Exp6,P142_Exp6,Low,14,NA,311.42857142857144,NA
Exp6,P142_Exp6,Low,14,NA,NA,287.8666666666667
Exp6,P143_Exp6,Low,20,278.05263157894734,NA,NA
Exp6,P143_Exp6,Low,20,NA,228.47058823529412,NA
Exp6,P143_Exp6,Low,20,NA,NA,203.05555555555554
Exp6,P144_Exp6,Low,14,256.36842105263156,NA,NA
Exp6,P144_Exp6,Low,14,NA,311.42857142857144,NA
Exp6,P144_Exp6,Low,14,NA,NA,287.8666666666667
Exp6,P145_Exp6,Low,22,150.9,NA,NA
Exp6,P145_Exp6,Low,22,NA,87.2,NA
Exp6,P145_Exp6,Low,22,NA,NA,164.77777777777777
Exp6,P146_Exp6,Low,18,255.1578947368421,NA,NA
Exp6,P146_Exp6,Low,18,NA,228.45454545454547,NA
Exp6,P146_Exp6,Low,18,NA,NA,261.75
Exp6,P147_Exp6,High,24,250.23529411764707,NA,NA
Exp6,P147_Exp6,High,24,NA,258.15,NA
Exp6,P147_Exp6,High,24,NA,NA,222.375
Exp6,P148_Exp6,Low,19,362.2307692307692,NA,NA
Exp6,P148_Exp6,Low,19,NA,342.0625,NA
Exp6,P148_Exp6,Low,19,NA,NA,274.94117647058823
Exp6,P149_Exp6,High,33,539,NA,NA
Exp6,P149_Exp6,High,33,NA,500.75,NA
Exp6,P149_Exp6,High,33,NA,NA,451.5
Exp6,P150_Exp6,High,23,368,NA,NA
Exp6,P150_Exp6,High,23,NA,398.5,NA
Exp6,P150_Exp6,High,23,NA,NA,355.27777777777777
Exp6,P151_Exp6,Low,21,322.55555555555554,NA,NA
Exp6,P151_Exp6,Low,21,NA,225.91666666666666,NA
Exp6,P151_Exp6,Low,21,NA,NA,276.3157894736842
Exp6,P152_Exp6,Low,19,249.0952380952381,NA,NA
Exp6,P152_Exp6,Low,19,NA,228.86666666666667,NA
Exp6,P152_Exp6,Low,19,NA,NA,190.57142857142858
Exp6,P153_Exp6,Low,12,422,NA,NA
Exp6,P153_Exp6,Low,12,NA,338.8,NA
Exp6,P153_Exp6,Low,12,NA,NA,328.42857142857144
Exp6,P154_Exp6,High,24,160.1818181818182,NA,NA
Exp6,P154_Exp6,High,24,NA,223.9,NA
Exp6,P154_Exp6,High,24,NA,NA,75.5
Exp6,P155_Exp6,High,30,295.75,NA,NA
Exp6,P155_Exp6,High,30,NA,246.15,NA
Exp6,P155_Exp6,High,30,NA,NA,274.3
Exp7,P1048_Exp7,Low,18,254.125,235.33333333333334,334.125
Exp7,P1049_Exp7,Low,22,244.3125,228.77777777777777,168.21052631578948
Exp7,P1101_Exp7,High,24,278.4,240.13636363636363,240.95833333333334
Exp7,P1104_Exp7,High,25,246.82608695652175,290.8333333333333,313.29411764705884
Exp7,P1133_Exp7,High,28,185.8181818181818,181.5,137.5
Exp7,P1155_Exp7,Low,17,239.54166666666666,287.11764705882354,320.11764705882354
Exp7,P1156_Exp7,High,25,282.5833333333333,325.77777777777777,284.14285714285717
Exp7,P1173_Exp7,Low,18,256.3888888888889,254.47058823529412,159.04347826086956
Exp7,P1286_Exp7,High,31,251.78571428571428,310.7142857142857,430.6666666666667
Exp7,P1418_Exp7,High,27,246.8095238095238,271.7,337.5
Exp7,P1472_Exp7,High,23,365.1818181818182,269.0952380952381,322.7391304347826
Exp7,P1524_Exp7,High,30,208.26315789473685,179.5,137.9090909090909
Exp7,P1606_Exp7,High,25,257.25,342.6666666666667,358.3333333333333
Exp7,P1613_Exp7,Low,19,207.85,130.25,63.30434782608695
Exp7,P1621_Exp7,High,24,217.5,298.22222222222223,306.72727272727275
Exp7,P1639_Exp7,Low,21,279,280.61538461538464,328.53846153846155
Exp7,P1658_Exp7,Low,14,279.88235294117646,313.5,351.77777777777777
Exp7,P1738_Exp7,Low,15,290.35714285714283,383.4166666666667,370.6
Exp7,P1783_Exp7,High,26,257.22222222222223,266,307.8333333333333
Exp7,P1784_Exp7,High,34,280.05555555555554,255.9090909090909,380.5833333333333
Exp7,P1796_Exp7,Low,8,233.33333333333334,247,328.3
Exp7,P1823_Exp7,Low,18,168.8125,276.14285714285717,64.22727272727273
Exp7,P1829_Exp7,High,29,250.5,166.33333333333334,50.708333333333336
Exp7,P1873_Exp7,High,29,358.3333333333333,379.8,376.6
Exp7,P1880_Exp7,Low,17,289.27272727272725,301.47058823529414,200.55555555555554
Exp7,P1887_Exp7,Low,11,239.04166666666666,208.23809523809524,212.56521739130434
Exp7,P1888_Exp7,Low,10,237.30434782608697,218.9,211.1904761904762
Exp7,P1894_Exp7,High,24,271.3478260869565,282.8888888888889,346.1111111111111
Exp7,P1901_Exp7,Low,16,298.26666666666665,400.1111111111111,361.7142857142857
Exp7,P1918_Exp7,Low,22,211.5,127.22727272727273,84.45454545454545
Exp7,P1939_Exp7,Low,15,252.5,316.42857142857144,257.45454545454544
Exp7,P1941_Exp7,High,27,249.55555555555554,225.53846153846155,254.25
Exp7,P1947_Exp7,High,26,303.09090909090907,294.59090909090907,279.6666666666667
Exp7,P1971_Exp7,High,25,311.1333333333333,408.25,532.1666666666666
Exp7,P1974_Exp7,High,32,293.60869565217394,350.75,212.2608695652174
Exp7,P2005_Exp7,High,30,269.4117647058824,322.9166666666667,373.75
