Experiment,subj,ICU_medSplit,ICU,tOutFix
Exp3,P102_Exp3,Low,18,321.5
Exp3,P103_Exp3,High,26,296.7
Exp3,P105_Exp3,Low,15,245.83333333333334
Exp3,P106_Exp3,Low,14,309.93333333333334
Exp3,P107_Exp3,Low,21,279.5
Exp3,P108_Exp3,Low,6,246.6875
Exp3,P109_Exp3,High,23,283.75
Exp3,P110_Exp3,Low,20,183.41176470588235
Exp3,P111_Exp3,High,24,215.23529411764707
Exp3,P112_Exp3,Low,17,171.45833333333334
Exp3,P113_Exp3,Low,11,141.95833333333334
Exp3,P114_Exp3,High,23,166.26666666666668
Exp3,P115_Exp3,High,31,NaN
Exp3,P116_Exp3,Low,21,217.42857142857142
Exp3,P117_Exp3,High,29,676
Exp3,P118_Exp3,High,24,565.5
Exp3,P119_Exp3,Low,12,290.27272727272725
Exp3,P120_Exp3,Low,19,155.65217391304347
Exp3,P121_Exp3,High,29,245.16666666666666
Exp3,P122_Exp3,Low,13,318
Exp3,P123_Exp3,High,23,142.8095238095238
Exp3,P124_Exp3,Low,16,237.33333333333334
Exp3,P125_Exp3,Low,13,397
Exp3,P126_Exp3,Low,18,90.1304347826087
Exp3,P127_Exp3,Low,20,222.9
Exp3,P128_Exp3,High,27,246.625
Exp3,P129_Exp3,High,29,481.5
Exp3,P130_Exp3,Low,22,212.0625
Exp3,P131_Exp3,High,36,361.2
Exp3,P132_Exp3,Low,20,242.4
Exp3,P133_Exp3,High,30,162.66666666666666
Exp3,P134_Exp3,Low,20,135.15
Exp3,P135_Exp3,Low,22,135.70833333333334
Exp3,P136_Exp3,High,25,323.3333333333333
Exp3,P137_Exp3,High,29,289.10526315789474
Exp3,P138_Exp3,High,25,233.83333333333334
Exp3,P139_Exp3,Low,16,71.76923076923077
Exp3,P140_Exp3,High,26,270.4
Exp3,P141_Exp3,High,23,326.6666666666667
Exp3,P142_Exp3,High,34,350
Exp3,P143_Exp3,Low,17,206.8
Exp3,P144_Exp3,Low,18,245.9090909090909
Exp3,P146_Exp3,High,25,188.375
Exp3,P148_Exp3,Low,16,294.5
Exp6,P101_Exp6,Low,21,204.13636363636363
Exp6,P102_Exp6,Low,21,285.89473684210526
Exp6,P103_Exp6,High,35,518
Exp6,P104_Exp6,Low,20,225.9090909090909
Exp6,P105_Exp6,Low,18,331.7647058823529
Exp6,P106_Exp6,High,31,358.1666666666667
Exp6,P108_Exp6,Low,19,403.8
Exp6,P109_Exp6,Low,18,324.42105263157896
Exp6,P110_Exp6,High,23,612.1818181818181
Exp6,P111_Exp6,Low,22,460.875
Exp6,P112_Exp6,Low,11,219.5
Exp6,P113_Exp6,High,26,251.83333333333334
Exp6,P114_Exp6,High,28,265.30434782608694
Exp6,P115_Exp6,High,27,342.8235294117647
Exp6,P117_Exp6,High,25,524.6666666666666
Exp6,P118_Exp6,Low,17,174.08333333333334
Exp6,P119_Exp6,Low,17,254.42857142857142
Exp6,P120_Exp6,High,23,390.5833333333333
Exp6,P121_Exp6,High,24,361.07142857142856
Exp6,P122_Exp6,High,25,110.85714285714286
Exp6,P123_Exp6,Low,10,536.9375
Exp6,P124_Exp6,High,30,373.10526315789474
Exp6,P125_Exp6,Low,8,269.8095238095238
Exp6,P126_Exp6,High,40,288.14285714285717
Exp6,P127_Exp6,High,23,407.57142857142856
Exp6,P128_Exp6,Low,18,85.08333333333333
Exp6,P129_Exp6,High,32,541
Exp6,P130_Exp6,High,32,212.3913043478261
Exp6,P131_Exp6,High,26,228.2173913043478
Exp6,P132_Exp6,Low,17,247.21052631578948
Exp6,P133_Exp6,High,24,128.47826086956522
Exp6,P134_Exp6,High,30,353
Exp6,P135_Exp6,Low,14,335.8636363636364
Exp6,P136_Exp6,High,30,369.23809523809524
Exp6,P137_Exp6,High,29,269.95238095238096
Exp6,P138_Exp6,High,30,391
Exp6,P139_Exp6,High,28,226.5625
Exp6,P140_Exp6,Low,18,301.4375
Exp6,P141_Exp6,High,24,268.3076923076923
Exp6,P142_Exp6,Low,14,324.0625
Exp6,P143_Exp6,Low,20,207.1904761904762
Exp6,P144_Exp6,Low,14,324.0625
Exp6,P145_Exp6,Low,22,164.77777777777777
Exp6,P146_Exp6,Low,18,261.75
Exp6,P147_Exp6,High,24,221.10526315789474
Exp6,P148_Exp6,Low,19,274.94117647058823
Exp6,P149_Exp6,High,33,475.5
Exp6,P150_Exp6,High,23,355.27777777777777
Exp6,P151_Exp6,Low,21,273.1818181818182
Exp6,P152_Exp6,Low,19,220.0625
Exp6,P153_Exp6,Low,12,406.125
Exp6,P154_Exp6,High,24,107.5
Exp6,P155_Exp6,High,30,274.3
Exp7,P1048_Exp7,Low,18,334.125
Exp7,P1049_Exp7,Low,22,168.21052631578948
Exp7,P1101_Exp7,High,24,240.95833333333334
Exp7,P1104_Exp7,High,25,313.29411764705884
Exp7,P1133_Exp7,High,28,137.5
Exp7,P1155_Exp7,Low,17,320.11764705882354
Exp7,P1156_Exp7,High,25,284.14285714285717
Exp7,P1173_Exp7,Low,18,159.04347826086956
Exp7,P1286_Exp7,High,31,430.6666666666667
Exp7,P1418_Exp7,High,27,337.5
Exp7,P1472_Exp7,High,23,322.7391304347826
Exp7,P1524_Exp7,High,30,137.9090909090909
Exp7,P1606_Exp7,High,25,358.3333333333333
Exp7,P1613_Exp7,Low,19,63.30434782608695
Exp7,P1621_Exp7,High,24,306.72727272727275
Exp7,P1639_Exp7,Low,21,328.53846153846155
Exp7,P1658_Exp7,Low,14,351.77777777777777
Exp7,P1738_Exp7,Low,15,370.6
Exp7,P1783_Exp7,High,26,307.8333333333333
Exp7,P1784_Exp7,High,34,380.5833333333333
Exp7,P1796_Exp7,Low,8,328.3
Exp7,P1823_Exp7,Low,18,64.22727272727273
Exp7,P1829_Exp7,High,29,50.708333333333336
Exp7,P1873_Exp7,High,29,376.6
Exp7,P1880_Exp7,Low,17,200.55555555555554
Exp7,P1887_Exp7,Low,11,212.56521739130434
Exp7,P1888_Exp7,Low,10,211.1904761904762
Exp7,P1894_Exp7,High,24,346.1111111111111
Exp7,P1901_Exp7,Low,16,361.7142857142857
Exp7,P1918_Exp7,Low,22,84.45454545454545
Exp7,P1939_Exp7,Low,15,257.45454545454544
Exp7,P1941_Exp7,High,27,254.25
Exp7,P1947_Exp7,High,26,279.6666666666667
Exp7,P1971_Exp7,High,25,532.1666666666666
Exp7,P1974_Exp7,High,32,212.2608695652174
Exp7,P2005_Exp7,High,30,373.75
